query_id,awr_file,elapsed_time,moyenne_sessions,rows_processed,incident
8n00mddr12jk7,awrrpt_1_40877_40878.html,86.71,481.0,0,0
5c422htn28r6v,awrrpt_1_40877_40878.html,80.44,481.0,0,0
69p5ffj07qjm1,awrrpt_1_40877_40878.html,77.83,481.0,0,0
g6px76dmjv1jy,awrrpt_1_40877_40878.html,60.17,481.0,0,0
aj93kp0u437uq,awrrpt_1_40877_40878.html,43.95,481.0,0,0
bf5231j1dyxd4,awrrpt_1_40877_40878.html,34.13,481.0,0,0
52rfgfgmkfpv7,awrrpt_1_40877_40878.html,31.84,481.0,0,0
9a0dn73zskwra,awrrpt_1_40877_40878.html,28.78,481.0,0,0
2j68ajags31c9,awrrpt_1_40877_40878.html,27.0,481.0,0,0
786vjbkcy9tsk,awrrpt_1_40877_40878.html,26.54,481.0,0,0
fk0y71t51rdtr,awrrpt_1_40877_40878.html,19.94,481.0,0,0
dp1s9xxfxp2us,awrrpt_1_40877_40878.html,5.7,481.0,211869,0
61y2197gjtnn2,awrrpt_1_40877_40878.html,213.79,481.0,100000,0
8dz2xt4gcf0y0,awrrpt_1_40877_40878.html,69.82,481.0,100000,0
2p9fv35c7zxtg,awrrpt_1_40877_40878.html,0.3,481.0,3,0
5mscr4bry7b6c,awrrpt_1_40877_40878.html,17.04,481.0,3591,0
gxgs0vc3dw7c1,awrrpt_1_40877_40878.html,5.61,481.0,211869,0
8w5st001wrj4q,awrrpt_1_40877_40878.html,0.32,481.0,0,0
c79fcfw22nqu9,awrrpt_1_40877_40878.html,0.13,481.0,728,0
5dqz0hqtp9fru,awrrpt_1_40877_40878.html,0.1,481.0,3226,0
718fb5kwmgmf1,awrrpt_1_40877_40878.html,1.79,481.0,336,0
9hbr96xyqkd8g,awrrpt_1_40878_40879.html,2490.84,483.0,0,1
8dz2xt4gcf0y0,awrrpt_1_40878_40879.html,1444.37,483.0,963454,1
61y2197gjtnn2,awrrpt_1_40878_40879.html,834.34,483.0,963489,1
4y1571b2w463z,awrrpt_1_40878_40879.html,133.8,483.0,0,0
6urdwmd0zbtyq,awrrpt_1_40878_40879.html,126.07,483.0,0,0
g2npjd287nbjb,awrrpt_1_40878_40879.html,122.22,483.0,0,0
g6px76dmjv1jy,awrrpt_1_40878_40879.html,79.82,483.0,0,0
52rfgfgmkfpv7,awrrpt_1_40878_40879.html,58.56,483.0,0,0
aj93kp0u437uq,awrrpt_1_40878_40879.html,0.0,483.0,0,0
5mscr4bry7b6c,awrrpt_1_40878_40879.html,35.89,483.0,3589,0
61y2197gjtnn2,awrrpt_1_40878_40879.html,40.47,483.0,963489,0
8dz2xt4gcf0y0,awrrpt_1_40878_40879.html,1444.37,483.0,963454,1
dp1s9xxfxp2us,awrrpt_1_40878_40879.html,6.13,483.0,211751,0
2p9fv35c7zxtg,awrrpt_1_40878_40879.html,0.58,483.0,1,0
5mscr4bry7b6c,awrrpt_1_40878_40879.html,18.18,483.0,3589,0
gxgs0vc3dw7c1,awrrpt_1_40878_40879.html,5.98,483.0,211751,0
8w5st001wrj4q,awrrpt_1_40878_40879.html,0.32,483.0,0,0
5dqz0hqtp9fru,awrrpt_1_40878_40879.html,0.19,483.0,6333,0
c79fcfw22nqu9,awrrpt_1_40878_40879.html,0.13,483.0,736,0
3dbzmtf9ahvzt,awrrpt_1_40878_40879.html,0.14,483.0,424,0
g6px76dmjv1jy,awrrpt_1_40876_40877.html,59.39,480.5,0,0
52rfgfgmkfpv7,awrrpt_1_40876_40877.html,30.52,480.5,0,0
5mscr4bry7b6c,awrrpt_1_40876_40877.html,16.51,480.5,3593,0
0smupm8p2dhq7,awrrpt_1_40876_40877.html,10.05,480.5,0,0
f705bwx3q0ydq,awrrpt_1_40876_40877.html,7.3,480.5,0,0
3r7shgykwpz2c,awrrpt_1_40876_40877.html,6.62,480.5,0,0
dp1s9xxfxp2us,awrrpt_1_40876_40877.html,5.5600000000000005,480.5,211987,0
gxgs0vc3dw7c1,awrrpt_1_40876_40877.html,5.41,480.5,211987,0
22356bkgsdcnh,awrrpt_1_40876_40877.html,4.92,480.5,0,0
gxg599nkn13mh,awrrpt_1_40876_40877.html,3.94,480.5,0,0
70q9f64g60t0r,awrrpt_1_40876_40877.html,3.42,480.5,0,0
dbx3yp05gcxd7,awrrpt_1_40876_40877.html,3.29,480.5,0,0
8fcf84t5x94nt,awrrpt_1_40876_40877.html,3.2800000000000002,480.5,0,0
c9umxngkc3byq,awrrpt_1_40876_40877.html,2.04,480.5,0,0
9xpavwk040fb6,awrrpt_1_40876_40877.html,2.04,480.5,0,0
8hywfrqumv5xd,awrrpt_1_40876_40877.html,1.96,480.5,0,0
01n7n46gd0abh,awrrpt_1_40876_40877.html,2.2800000000000002,480.5,0,0
gr3x017hxxwvz,awrrpt_1_40876_40877.html,2.2800000000000002,480.5,0,0
718fb5kwmgmf1,awrrpt_1_40876_40877.html,1.6600000000000001,480.5,0,0
9vux20y6q29nu,awrrpt_1_40876_40877.html,1.52,480.5,0,0
3uv0j2fnhwpf1,awrrpt_1_40876_40877.html,1.44,480.5,0,0
950ptzaysg9x6,awrrpt_1_40876_40877.html,1.27,480.5,0,0
fhf8upax5cxsz,awrrpt_1_40876_40877.html,1.04,480.5,0,0
7yy327zur6fmu,awrrpt_1_40876_40877.html,1.03,480.5,7663,0
0w26sk6t6gq98,awrrpt_1_40876_40877.html,1.02,480.5,0,0
1y4f4wtu63797,awrrpt_1_40876_40877.html,0.98,480.5,0,0
dp1s9xxfxp2us,awrrpt_1_40876_40877.html,5.5600000000000005,480.5,211987,0
7yy327zur6fmu,awrrpt_1_40876_40877.html,1.03,480.5,7663,0
2p9fv35c7zxtg,awrrpt_1_40876_40877.html,0.26,480.5,0,0
5mscr4bry7b6c,awrrpt_1_40876_40877.html,16.51,480.5,3593,0
gxgs0vc3dw7c1,awrrpt_1_40876_40877.html,5.41,480.5,211987,0
22q2s31jf3p73,awrrpt_1_40876_40877.html,0.55,480.5,1481,0
950ptzaysg9x6,awrrpt_1_40876_40877.html,1.27,480.5,0,0
8w5st001wrj4q,awrrpt_1_40876_40877.html,0.3,480.5,0,0
c79fcfw22nqu9,awrrpt_1_40876_40877.html,0.12,480.5,728,0
5dqz0hqtp9fru,awrrpt_1_40876_40877.html,0.09,480.5,3168,0
